cmd,conds,short,long,argument,dirs,pri,desc
bun, , , , , ,100,
bun, , , , , ,101,
bun, , , , , ,102,
bun, , , , , ,103,
bun, , , , , ,104,
bun, , , , , ,105,
bun, , , , , ,106,
bun, , , , , ,107,
bun, , , , , ,108,
bun, , , , , ,109,
bun, , , , , ,110,
bun, , , , , ,111,
bun, , , , , ,112,
bun, , , , , ,113,
bun, , , , , ,114,
bun, , , , , ,115,
bun, , , , , ,116,
bun, , , , , ,117,
bun, , , , , ,118,
bun, , , , , ,119,
bun, , , , , ,120,
bun, , , , , ,121,
bun, , , , , ,122,
bun, , , , , ,123,
bun, , , , , ,124,
bun, , , , , ,125,
bun, , , , , ,126,
bun, , , , , ,127,
bun, , , , , ,128,
bun, , , , , ,129,
bun, , , , , ,130,
bun, , , , , ,131,
bun, , , , , ,132,
bun, , , , , ,133,
bun, , , , , ,134,
